job_id,inferred,type
3884436566,0,Paid maternity leave
3884436566,0,Paid paternity leave
3887700528,1,401(k)
3884435887,0,Medical insurance
3884435887,0,Vision insurance
3884435887,0,Dental insurance
3884435887,0,401(k)
3884435887,0,Disability insurance
3884435887,0,Paid maternity leave
3884435887,0,Paid paternity leave
3884912537,0,Medical insurance
3884912537,0,Vision insurance
3884912537,0,Dental insurance
3884912537,0,401(k)
3884912537,0,Tuition assistance
3887701056,1,401(k)
3887701056,1,Disability insurance
3887702633,0,Medical insurance
3887702633,0,Vision insurance
3887702633,0,Dental insurance
3887702633,0,401(k)
3887702633,0,Disability insurance
3887499542,1,401(k)
3884435829,1,401(k)
3887701518,1,401(k)
3887701518,1,Disability insurance
3884912600,0,Medical insurance
3884912600,0,Vision insurance
3884912600,0,Dental insurance
3884912600,0,401(k)
3884912600,0,Paid maternity leave
3884912600,0,Tuition assistance
3884912600,0,Disability insurance
3887495294,1,Medical insurance
3887495294,1,Vision insurance
3887495294,1,Dental insurance
3884928227,1,Vision insurance
3884928227,1,401(k)
3887499347,1,401(k)
3884438307,1,401(k)
3884440074,0,Medical insurance
3884440074,0,Vision insurance
3884440074,0,Dental insurance
3884440074,0,401(k)
3887494377,1,401(k)
3884435278,0,Medical insurance
3884435278,0,Vision insurance
3884435278,0,Dental insurance
3884435278,0,Pension plan
3884435278,0,Paid maternity leave
3884435278,0,Paid paternity leave
3884439235,0,Medical insurance
3884439235,0,Vision insurance
3884439235,0,Dental insurance
3884919534,0,Medical insurance
3884919534,0,Vision insurance
3884919534,0,Dental insurance
3884919534,0,401(k)
3887493104,1,401(k)
3884922078,1,Vision insurance
3884922078,1,401(k)
3884912743,0,Medical insurance
3884912743,0,Vision insurance
3884912743,0,Dental insurance
3884912743,0,401(k)
3887479250,0,Medical insurance
3887479250,0,Vision insurance
3887479250,0,Dental insurance
3887479250,0,401(k)
3884431807,0,Medical insurance
3884431807,0,Vision insurance
3884431807,0,Dental insurance
3884431807,0,401(k)
3884431807,0,Paid maternity leave
3884431807,0,Paid paternity leave
3884431807,0,Commuter benefits
3884431807,0,Disability insurance
3884926003,1,Medical insurance
3884926003,1,Paid paternity leave
3884926003,1,401(k)
3887483549,0,Medical insurance
3887483549,0,Vision insurance
3887483549,0,Dental insurance
3887483549,0,401(k)
3887483549,0,Disability insurance
3884435689,0,Medical insurance
3884435689,0,Vision insurance
3884435689,0,Dental insurance
3884435689,0,401(k)
3884435931,0,Medical insurance
3884435931,0,Vision insurance
3884435931,0,Dental insurance
3884435931,0,401(k)
3884915760,0,Medical insurance
3884915760,0,Vision insurance
3884915760,0,Dental insurance
3884915760,0,Pension plan
3884915760,0,Paid maternity leave
3887498347,1,401(k)
3887498347,1,Medical insurance
3884926672,1,Vision insurance
3884926672,1,401(k)
3887475356,1,401(k)
3887498742,1,Medical insurance
3887498742,1,Vision insurance
3887498742,1,Disability insurance
3887700602,1,401(k)
3887710464,1,401(k)
3884435811,0,Medical insurance
3884435811,0,Vision insurance
3884435811,0,Dental insurance
3884435811,0,401(k)
3887497009,1,Tuition assistance
3884430718,0,Medical insurance
3884430718,1,Vision insurance
3887707772,1,Medical insurance
3887496599,1,401(k)
3887496599,1,Disability insurance
3884436938,0,Medical insurance
3884436938,0,Vision insurance
3884436938,0,Dental insurance
3884436938,0,401(k)
3884436938,0,Paid maternity leave
3884436938,0,Paid paternity leave
3884436938,0,Disability insurance
3884442206,0,Medical insurance
3884442206,0,Vision insurance
3884442206,0,Dental insurance
3884442206,0,401(k)
3884442206,0,Tuition assistance
3884442206,0,Disability insurance
3887498577,1,401(k)
3887498577,1,Disability insurance
3884910764,1,Medical insurance
3884915082,1,Medical insurance
3884909891,1,Medical insurance
3884909891,1,401(k)
3884439351,1,Vision insurance
3887475348,1,Medical insurance
3887475348,1,Disability insurance
3887475348,1,401(k)
3884435949,1,Medical insurance
3884435949,1,401(k)
3884434802,1,401(k)
3818306840,1,Medical insurance
3818306840,1,Vision insurance
3818306840,1,Dental insurance
3884935167,1,Commuter benefits
3884935167,1,401(k)
3884935167,1,Tuition assistance
3887499463,1,401(k)
3887715456,1,401(k)
3884427966,1,401(k)
3884438082,0,Medical insurance
3884438082,0,Vision insurance
3884438082,0,Dental insurance
3884438082,0,401(k)
3887482152,1,401(k)
3887482152,1,Vision insurance
3884435908,1,Commuter benefits
3884440221,1,Vision insurance
3884440221,1,401(k)
3887477764,1,401(k)
3887477764,1,Vision insurance
3884922769,1,401(k)
3887482186,1,401(k)
3887482186,1,Vision insurance
3884436665,1,401(k)
3887477879,1,401(k)
3887477879,1,Vision insurance
3884440190,0,Medical insurance
3884440190,0,Vision insurance
3884440190,0,Dental insurance
3884440190,0,401(k)
3884440190,0,Paid maternity leave
3884440190,0,Paid paternity leave
3884937111,0,Medical insurance
3884937111,0,Pension plan
3884937111,0,Tuition assistance
3884937111,0,Disability insurance
3884937111,0,Paid maternity leave
